name,module,path,p1Path,p2Path,module_type
"M00892  UDP-N-acetyl-D-glucosamine biosynthesis, eukaryotes, glucose => UDP-GlcNAc [PATH:map00520 map01250 map01100]",M00892 ,map00520 map01250 map01100,Other carbohydrate metabolism,Carbohydrate metabolism,pathway
"M00909  UDP-N-acetyl-D-glucosamine biosynthesis, prokaryotes, glucose => UDP-GlcNAc [PATH:map00520 map01250 map01100]",M00909 ,map00520 map01250 map01100,Other carbohydrate metabolism,Carbohydrate metabolism,pathway
"M00761  Undecaprenylphosphate alpha-L-Ara4N biosynthesis, UDP-GlcA => undecaprenyl phosphate alpha-L-Ara4N [PATH:map00520 map01100]",M00761 ,map00520 map01100,Other carbohydrate metabolism,Carbohydrate metabolism,pathway
M00012  Glyoxylate cycle [PATH:map00630 map01200 map01100 map01110],M00012 ,map00630 map01200 map01100 map01110,Other carbohydrate metabolism,Carbohydrate metabolism,pathway
M00373  Ethylmalonyl pathway [PATH:map00630 map01200 map01100 map01120],M00373 ,map00630 map01200 map01100 map01120,Other carbohydrate metabolism,Carbohydrate metabolism,pathway
M00740  Methylaspartate cycle [PATH:map00020 map00250 map00630 map01200 map01100 map01120],M00740 ,map00020 map00250 map00630 map01200 map01100 map01120,Other carbohydrate metabolism,Carbohydrate metabolism,pathway
M00532  Photorespiration [PATH:map00630 map01200 map01100 map01110],M00532 ,map00630 map01200 map01100 map01110,Other carbohydrate metabolism,Carbohydrate metabolism,pathway
"M00013  Malonate semialdehyde pathway, propanoyl-CoA => acetyl-CoA [PATH:map00410 map00640 map01200 map01100]",M00013 ,map00410 map00640 map01200 map01100,Other carbohydrate metabolism,Carbohydrate metabolism,pathway
"M00741  Propanoyl-CoA metabolism, propanoyl-CoA => succinyl-CoA [PATH:map00280 map00630 map00640 map01200 map01100]",M00741 ,map00280 map00630 map00640 map01200 map01100,Other carbohydrate metabolism,Carbohydrate metabolism,pathway
"M00130  Inositol phosphate metabolism, PI=> PIP2 => Ins(1,4,5)P3 => Ins(1,3,4,5)P4 [PATH:map00562 map01100]",M00130 ,map00562 map01100,Other carbohydrate metabolism,Carbohydrate metabolism,pathway
"M00131  Inositol phosphate metabolism, Ins(1,3,4,5)P4 => Ins(1,3,4)P3 => myo-inositol [PATH:map00562 map01100]",M00131 ,map00562 map01100,Other carbohydrate metabolism,Carbohydrate metabolism,pathway
"M00132  Inositol phosphate metabolism, Ins(1,3,4)P3 => phytate [PATH:map00562 map01100]",M00132 ,map00562 map01100,Other carbohydrate metabolism,Carbohydrate metabolism,pathway
M00165  Reductive pentose phosphate cycle (Calvin cycle) [PATH:map00710 map01200 map01100 map01120],M00165 ,map00710 map01200 map01100 map01120,Carbon fixation,Carbohydrate metabolism,pathway
"M00166  Reductive pentose phosphate cycle, ribulose-5P => glyceraldehyde-3P [PATH:map00710 map01200 map01100 map01120]",M00166 ,map00710 map01200 map01100 map01120,Carbon fixation,Carbohydrate metabolism,pathway
"M00167  Reductive pentose phosphate cycle, glyceraldehyde-3P => ribulose-5P [PATH:map00710 map01200 map01100 map01120]",M00167 ,map00710 map01200 map01100 map01120,Carbon fixation,Carbohydrate metabolism,pathway
"M00168  CAM (Crassulacean acid metabolism), dark [PATH:map00620 map00710 map01200 map01100 map01120]",M00168 ,map00620 map00710 map01200 map01100 map01120,Carbon fixation,Carbohydrate metabolism,pathway
"M00169  CAM (Crassulacean acid metabolism), light [PATH:map00620 map00710 map01200 map01100 map01120]",M00169 ,map00620 map00710 map01200 map01100 map01120,Carbon fixation,Carbohydrate metabolism,pathway
"M00172  C4-dicarboxylic acid cycle, NADP - malic enzyme type [PATH:map00620 map00710 map01200 map01100 map01120]",M00172 ,map00620 map00710 map01200 map01100 map01120,Carbon fixation,Carbohydrate metabolism,pathway
"M00171  C4-dicarboxylic acid cycle, NAD - malic enzyme type [PATH:map00710 map01200 map01100 map01120]",M00171 ,map00710 map01200 map01100 map01120,Carbon fixation,Carbohydrate metabolism,pathway
"M00170  C4-dicarboxylic acid cycle, phosphoenolpyruvate carboxykinase type [PATH:map00710 map01200 map01100 map01120]",M00170 ,map00710 map01200 map01100 map01120,Carbon fixation,Carbohydrate metabolism,pathway
M00173  Reductive citrate cycle (Arnon-Buchanan cycle) [PATH:map00720 map01200 map01100 map01120],M00173 ,map00720 map01200 map01100 map01120,Carbon fixation,Carbohydrate metabolism,pathway
M00376  3-Hydroxypropionate bi-cycle [PATH:map00720 map01200 map01100 map01120],M00376 ,map00720 map01200 map01100 map01120,Carbon fixation,Carbohydrate metabolism,pathway
M00375  Hydroxypropionate-hydroxybutylate cycle [PATH:map00720 map01200 map01100 map01120],M00375 ,map00720 map01200 map01100 map01120,Carbon fixation,Carbohydrate metabolism,pathway
M00374  Dicarboxylate-hydroxybutyrate cycle [PATH:map00720 map01200 map01100 map01120],M00374 ,map00720 map01200 map01100 map01120,Carbon fixation,Carbohydrate metabolism,pathway
M00377  Reductive acetyl-CoA pathway (Wood-Ljungdahl pathway) [PATH:map00720 map01200 map01100 map01120],M00377 ,map00720 map01200 map01100 map01120,Carbon fixation,Carbohydrate metabolism,pathway
"M00579  Phosphate acetyltransferase-acetate kinase pathway, acetyl-CoA => acetate [PATH:map00430 map00620 map00720 map01200 map01100 map01120]",M00579 ,map00430 map00620 map00720 map01200 map01100 map01120,Carbon fixation,Carbohydrate metabolism,pathway
"M00620  Incomplete reductive citrate cycle, acetyl-CoA => oxoglutarate [PATH:map00720 map01200 map01100 map01120]",M00620 ,map00720 map01200 map01100 map01120,Carbon fixation,Carbohydrate metabolism,pathway
"M00567  Methanogenesis, CO2 => methane [PATH:map00680 map01200 map01100 map01120]",M00567 ,map00680 map01200 map01100 map01120,Methane metabolism,Carbohydrate metabolism,pathway
"M00357  Methanogenesis, acetate => methane [PATH:map00680 map01200 map01100 map01120]",M00357 ,map00680 map01200 map01100 map01120,Methane metabolism,Carbohydrate metabolism,pathway
"M00356  Methanogenesis, methanol => methane [PATH:map00680 map01200 map01100 map01120]",M00356 ,map00680 map01200 map01100 map01120,Methane metabolism,Carbohydrate metabolism,pathway
"M00563  Methanogenesis, methylamine/dimethylamine/trimethylamine => methane [PATH:map00680 map01200 map01100 map01120]",M00563 ,map00680 map01200 map01100 map01120,Methane metabolism,Carbohydrate metabolism,pathway
M00358  Coenzyme M biosynthesis [PATH:map00680 map01240 map01100 map01120],M00358 ,map00680 map01240 map01100 map01120,Methane metabolism,Carbohydrate metabolism,pathway
"M00608  2-Oxocarboxylic acid chain extension, 2-oxoglutarate => 2-oxoadipate => 2-oxopimelate => 2-oxosuberate [PATH:map00300 map00680 map01210 map01230 map01240 map01100 map01120]",M00608 ,map00300 map00680 map01210 map01230 map01240 map01100 map01120,Methane metabolism,Carbohydrate metabolism,pathway
"M00174  Methane oxidation, methanotroph, methane => formaldehyde [PATH:map00680 map01200 map01220 map01100 map01120]",M00174 ,map00680 map01200 map01220 map01100 map01120,Methane metabolism,Carbohydrate metabolism,pathway
"M00346  Formaldehyde assimilation, serine pathway [PATH:map00680 map01200 map01100 map01120]",M00346 ,map00680 map01200 map01100 map01120,Methane metabolism,Carbohydrate metabolism,pathway
"M00345  Formaldehyde assimilation, ribulose monophosphate pathway [PATH:map00030 map00680 map01200 map01230 map01100 map01120]",M00345 ,map00030 map00680 map01200 map01230 map01100 map01120,Methane metabolism,Carbohydrate metabolism,pathway
"M00344  Formaldehyde assimilation, xylulose monophosphate pathway [PATH:map00680 map01200 map01100 map01120]",M00344 ,map00680 map01200 map01100 map01120,Methane metabolism,Carbohydrate metabolism,pathway
"M00378  F420 biosynthesis, archaea [PATH:map00680 map01240 map01100 map01120]",M00378 ,map00680 map01240 map01100 map01120,Methane metabolism,Carbohydrate metabolism,pathway
M00935  Methanofuran biosynthesis [PATH:map00680 map01240 map01100],M00935 ,map00680 map01240 map01100,Methane metabolism,Carbohydrate metabolism,pathway
"M00422  Acetyl-CoA pathway, CO2 => acetyl-CoA [PATH:map00680 map01200 map01100 map01120]",M00422 ,map00680 map01200 map01100 map01120,Methane metabolism,Carbohydrate metabolism,pathway
"M00175  Nitrogen fixation, nitrogen => ammonia [PATH:map00910 map01100 map01120]",M00175 ,map00910 map01100 map01120,Nitrogen metabolism,Carbohydrate metabolism,pathway
"M00531  Assimilatory nitrate reduction, nitrate => ammonia [PATH:map00910 map01100 map01120]",M00531 ,map00910 map01100 map01120,Nitrogen metabolism,Carbohydrate metabolism,pathway
"M00530  Dissimilatory nitrate reduction, nitrate => ammonia [PATH:map00910 map01100 map01120]",M00530 ,map00910 map01100 map01120,Nitrogen metabolism,Carbohydrate metabolism,pathway
"M00529  Denitrification, nitrate => nitrogen [PATH:map00910 map01100 map01120]",M00529 ,map00910 map01100 map01120,Nitrogen metabolism,Carbohydrate metabolism,pathway
"M00528  Nitrification, ammonia => nitrite [PATH:map00910 map01100 map01120]",M00528 ,map00910 map01100 map01120,Nitrogen metabolism,Carbohydrate metabolism,pathway
"M00804  Complete nitrification, comammox, ammonia => nitrite => nitrate [PATH:map00910 map01100 map01120]",M00804 ,map00910 map01100 map01120,Nitrogen metabolism,Carbohydrate metabolism,pathway
"M00176  Assimilatory sulfate reduction, sulfate => H2S [PATH:map00920 map01100 map01120]",M00176 ,map00920 map01100 map01120,Sulfur metabolism,Carbohydrate metabolism,pathway
"M00596  Dissimilatory sulfate reduction, sulfate => H2S [PATH:map00920 map01100 map01120]",M00596 ,map00920 map01100 map01120,Sulfur metabolism,Carbohydrate metabolism,pathway
"M00595  Thiosulfate oxidation by SOX complex, thiosulfate => sulfate [PATH:map00920 map01100 map01120]",M00595 ,map00920 map01100 map01120,Sulfur metabolism,Carbohydrate metabolism,pathway
M00161  Photosystem II [PATH:map00195],M00161 ,map00195,Photosynthesis,Carbohydrate metabolism,pathway
M00163  Photosystem I [PATH:map00195],M00163 ,map00195,Photosynthesis,Carbohydrate metabolism,pathway
M00597  Anoxygenic photosystem II,M00597 ,NA,Photosynthesis,Carbohydrate metabolism,pathway
M00598  Anoxygenic photosystem I,M00598 ,NA,Photosynthesis,Carbohydrate metabolism,pathway
"M00144  NADH:quinone oxidoreductase, prokaryotes [PATH:map00190]",M00144 ,map00190,ATP synthesis,Carbohydrate metabolism,pathway
"M00145  NAD(P)H:quinone oxidoreductase, chloroplasts and cyanobacteria [PATH:map00190]",M00145 ,map00190,ATP synthesis,Carbohydrate metabolism,pathway
"M00142  NADH:ubiquinone oxidoreductase, mitochondria [PATH:map00190]",M00142 ,map00190,ATP synthesis,Carbohydrate metabolism,pathway
"M00143  NADH dehydrogenase (ubiquinone) Fe-S protein/flavoprotein complex, mitochondria [PATH:map00190]",M00143 ,map00190,ATP synthesis,Carbohydrate metabolism,pathway
M00146  NADH dehydrogenase (ubiquinone) 1 alpha subcomplex [PATH:map00190],M00146 ,map00190,ATP synthesis,Carbohydrate metabolism,pathway
M00147  NADH dehydrogenase (ubiquinone) 1 beta subcomplex [PATH:map00190],M00147 ,map00190,ATP synthesis,Carbohydrate metabolism,pathway
"M00149  Succinate dehydrogenase, prokaryotes [PATH:map00190]",M00149 ,map00190,ATP synthesis,Carbohydrate metabolism,pathway
"M00150  Fumarate reductase, prokaryotes [PATH:map00190]",M00150 ,map00190,ATP synthesis,Carbohydrate metabolism,pathway
M00148  Succinate dehydrogenase (ubiquinone) [PATH:map00190],M00148 ,map00190,ATP synthesis,Carbohydrate metabolism,pathway
M00162  Cytochrome b6f complex [PATH:map00195],M00162 ,map00195,ATP synthesis,Carbohydrate metabolism,pathway
M00151  Cytochrome bc1 complex respiratory unit [PATH:map00190],M00151 ,map00190,ATP synthesis,Carbohydrate metabolism,pathway
M00152  Cytochrome bc1 complex [PATH:map00190],M00152 ,map00190,ATP synthesis,Carbohydrate metabolism,pathway
M00154  Cytochrome c oxidase [PATH:map00190],M00154 ,map00190,ATP synthesis,Carbohydrate metabolism,pathway
"M00155  Cytochrome c oxidase, prokaryotes [PATH:map00190]",M00155 ,map00190,ATP synthesis,Carbohydrate metabolism,pathway
M00153  Cytochrome bd ubiquinol oxidase [PATH:map00190],M00153 ,map00190,ATP synthesis,Carbohydrate metabolism,pathway
M00417  Cytochrome o ubiquinol oxidase [PATH:map00190],M00417 ,map00190,ATP synthesis,Carbohydrate metabolism,pathway
M00416  Cytochrome aa3-600 menaquinol oxidase [PATH:map00190],M00416 ,map00190,ATP synthesis,Carbohydrate metabolism,pathway
"M00156  Cytochrome c oxidase, cbb3-type [PATH:map00190]",M00156 ,map00190,ATP synthesis,Carbohydrate metabolism,pathway
"M00157  F-type ATPase, prokaryotes and chloroplasts [PATH:map00190 map00195]",M00157 ,map00190 map00195,ATP synthesis,Carbohydrate metabolism,pathway
"M00158  F-type ATPase, eukaryotes [PATH:map00190]",M00158 ,map00190,ATP synthesis,Carbohydrate metabolism,pathway
"M00159  V-type ATPase, prokaryotes [PATH:map00190]",M00159 ,map00190,ATP synthesis,Carbohydrate metabolism,pathway
"M00160  V-type ATPase, eukaryotes [PATH:map00190]",M00160 ,map00190,ATP synthesis,Carbohydrate metabolism,pathway
"M00082  Fatty acid biosynthesis, initiation [PATH:map00061 map01212 map01100]",M00082 ,map00061 map01212 map01100,Fatty acid metabolism,Carbohydrate metabolism,pathway
"M00083  Fatty acid biosynthesis, elongation [PATH:map00061 map01212 map01100]",M00083 ,map00061 map01212 map01100,Fatty acid metabolism,Carbohydrate metabolism,pathway
"M00873  Fatty acid biosynthesis in mitochondria, animals [PATH:map00061 map01212 map01100]",M00873 ,map00061 map01212 map01100,Fatty acid metabolism,Carbohydrate metabolism,pathway
"M00874  Fatty acid biosynthesis in mitochondria, fungi [PATH:map00061 map01212 map01100]",M00874 ,map00061 map01212 map01100,Fatty acid metabolism,Carbohydrate metabolism,pathway
M00085  Fatty acid elongation in mitochondria [PATH:map00062 map01212 map01100],M00085 ,map00062 map01212 map01100,Fatty acid metabolism,Carbohydrate metabolism,pathway
M00415  Fatty acid elongation in endoplasmic reticulum [PATH:map00062 map01040 map01212 map01100],M00415 ,map00062 map01040 map01212 map01100,Fatty acid metabolism,Carbohydrate metabolism,pathway
"M00086  beta-Oxidation, acyl-CoA synthesis [PATH:map00061 map00071 map01212 map01100]",M00086 ,map00061 map00071 map01212 map01100,Fatty acid metabolism,Carbohydrate metabolism,pathway
M00087  beta-Oxidation [PATH:map00071 map01212 map01100],M00087 ,map00071 map01212 map01100,Fatty acid metabolism,Carbohydrate metabolism,pathway
"M00861  beta-Oxidation, peroxisome, VLCFA [PATH:map01040 map01212 map01100]",M00861 ,map01040 map01212 map01100,Fatty acid metabolism,Carbohydrate metabolism,pathway
"M00101  Cholesterol biosynthesis, squalene 2,3-epoxide => cholesterol [PATH:map00100 map01100]",M00101 ,map00100 map01100,Sterol biosynthesis,Carbohydrate metabolism,pathway
"M00102  Ergocalciferol biosynthesis, squalene 2,3-epoxide => ergosterol/ergocalciferol [PATH:map00100 map01100 map01110]",M00102 ,map00100 map01100 map01110,Sterol biosynthesis,Carbohydrate metabolism,pathway
"M00917  Phytosterol biosynthesis, squalene 2,3-epoxide => campesterol/sitosterol [PATH:map00100 map01100 map01110]",M00917 ,map00100 map01100 map01110,Sterol biosynthesis,Carbohydrate metabolism,pathway
M00103  Cholecalciferol biosynthesis [PATH:map00100 map01100],M00103 ,map00100 map01100,Sterol biosynthesis,Carbohydrate metabolism,pathway
"M00104  Bile acid biosynthesis, cholesterol => cholate/chenodeoxycholate [PATH:map00120 map01100]",M00104 ,map00120 map01100,Sterol biosynthesis,Carbohydrate metabolism,pathway
"M00106  Conjugated bile acid biosynthesis, cholate => taurocholate/glycocholate [PATH:map00120 map01100]",M00106 ,map00120 map01100,Sterol biosynthesis,Carbohydrate metabolism,pathway
"M00862  beta-Oxidation, peroxisome, tri/dihydroxycholestanoyl-CoA => choloyl/chenodeoxycholoyl-CoA [PATH:map00120 map01100]",M00862 ,map00120 map01100,Sterol biosynthesis,Carbohydrate metabolism,pathway
"M00107  Steroid hormone biosynthesis, cholesterol => prognenolone => progesterone [PATH:map00140 map01100]",M00107 ,map00140 map01100,Sterol biosynthesis,Carbohydrate metabolism,pathway
"M00108  C21-Steroid hormone biosynthesis, progesterone => corticosterone/aldosterone [PATH:map00140 map01100]",M00108 ,map00140 map01100,Sterol biosynthesis,Carbohydrate metabolism,pathway
"M00109  C21-Steroid hormone biosynthesis, progesterone => cortisol/cortisone [PATH:map00140 map01100]",M00109 ,map00140 map01100,Sterol biosynthesis,Carbohydrate metabolism,pathway
"M00110  C19/C18-Steroid hormone biosynthesis, pregnenolone => androstenedione => estrone [PATH:map00140 map01100]",M00110 ,map00140 map01100,Sterol biosynthesis,Carbohydrate metabolism,pathway
"M00088  Ketone body biosynthesis, acetyl-CoA => acetoacetate/3-hydroxybutyrate/acetone [PATH:map00650 map01100]",M00088 ,map00650 map01100,Lipid metabolism,Carbohydrate metabolism,pathway
M00089  Triacylglycerol biosynthesis [PATH:map00561 map01100],M00089 ,map00561 map01100,Lipid metabolism,Carbohydrate metabolism,pathway
M00098  Acylglycerol degradation [PATH:map00561 map01100],M00098 ,map00561 map01100,Lipid metabolism,Carbohydrate metabolism,pathway
"M00090  Phosphatidylcholine (PC) biosynthesis, choline => PC [PATH:map00564 map01100]",M00090 ,map00564 map01100,Lipid metabolism,Carbohydrate metabolism,pathway
"M00091  Phosphatidylcholine (PC) biosynthesis, PE => PC [PATH:map00564 map01100]",M00091 ,map00564 map01100,Lipid metabolism,Carbohydrate metabolism,pathway
"M00092  Phosphatidylethanolamine (PE) biosynthesis, ethanolamine => PE [PATH:map00564 map01100]",M00092 ,map00564 map01100,Lipid metabolism,Carbohydrate metabolism,pathway
"M00093  Phosphatidylethanolamine (PE) biosynthesis, PA => PS => PE [PATH:map00564 map01100]",M00093 ,map00564 map01100,Lipid metabolism,Carbohydrate metabolism,pathway
M00094  Ceramide biosynthesis [PATH:map00600 map01100],M00094 ,map00600 map01100,Lipid metabolism,Carbohydrate metabolism,pathway
M00066  Lactosylceramide biosynthesis [PATH:map00600 map01100],M00066 ,map00600 map01100,Lipid metabolism,Carbohydrate metabolism,pathway
"M00067  Sulfoglycolipids biosynthesis, ceramide/1-alkyl-2-acylglycerol => sulfatide/seminolipid [PATH:map00600 map00565 map01100]",M00067 ,map00600 map00565 map01100,Lipid metabolism,Carbohydrate metabolism,pathway
M00099  Sphingosine biosynthesis [PATH:map00600 map01100],M00099 ,map00600 map01100,Lipid metabolism,Carbohydrate metabolism,pathway
M00100  Sphingosine degradation [PATH:map00600 map01100],M00100 ,map00600 map01100,Lipid metabolism,Carbohydrate metabolism,pathway
M00113  Jasmonic acid biosynthesis [PATH:map00592 map01100 map01110],M00113 ,map00592 map01100 map01110,Lipid metabolism,Carbohydrate metabolism,pathway
"M00048  Inosine monophosphate biosynthesis, PRPP + glutamine => IMP [PATH:map00230 map01100]",M00048 ,map00230 map01100,Purine metabolism,Carbohydrate metabolism,pathway
"M00049  Adenine ribonucleotide biosynthesis, IMP => ADP,ATP [PATH:map00230 map01240 map01100]",M00049 ,map00230 map01240 map01100,Purine metabolism,Carbohydrate metabolism,pathway
"M00050  Guanine ribonucleotide biosynthesis, IMP => GDP,GTP [PATH:map00230 map01100]",M00050 ,map00230 map01100,Purine metabolism,Carbohydrate metabolism,pathway
"M00546  Purine degradation, xanthine => urea [PATH:map00230 map01100]",M00546 ,map00230 map01100,Purine metabolism,Carbohydrate metabolism,pathway
"M00051  Uridine monophosphate biosynthesis, glutamine (+ PRPP) => UMP [PATH:map00240 map01240 map01100]",M00051 ,map00240 map01240 map01100,Pyrimidine metabolism,Carbohydrate metabolism,pathway
"M00052  Pyrimidine ribonucleotide biosynthesis, UMP => UDP/UTP,CDP/CTP [PATH:map00240 map01240 map01100]",M00052 ,map00240 map01240 map01100,Pyrimidine metabolism,Carbohydrate metabolism,pathway
"M00053  Pyrimidine deoxyribonuleotide biosynthesis, CDP => dCTP [PATH:map00240 map01100]",M00053 ,map00240 map01100,Pyrimidine metabolism,Carbohydrate metabolism,pathway
"M00938  Pyrimidine deoxyribonuleotide biosynthesis, UDP => dTTP [PATH:map00240 map01100]",M00938 ,map00240 map01100,Pyrimidine metabolism,Carbohydrate metabolism,pathway
"M00046  Pyrimidine degradation, uracil => beta-alanine, thymine => 3-aminoisobutanoate [PATH:map00240 map01100]",M00046 ,map00240 map01100,Pyrimidine metabolism,Carbohydrate metabolism,pathway
"M00939  Pyrimidine degradation, uracil => 3-hydroxypropanoate [PATH:map00240 map01100]",M00939 ,map00240 map01100,Pyrimidine metabolism,Carbohydrate metabolism,pathway
"M00020  Serine biosynthesis, glycerate-3P => serine [PATH:map00260 map00680 map01200 map01230 map01100]",M00020 ,map00260 map00680 map01200 map01230 map01100,Serine and threonine metabolism,Carbohydrate metabolism,pathway
"M00018  Threonine biosynthesis, aspartate => homoserine => threonine [PATH:map00260 map01230 map01100 map01110]",M00018 ,map00260 map01230 map01100 map01110,Serine and threonine metabolism,Carbohydrate metabolism,pathway
"M00555  Betaine biosynthesis, choline => betaine [PATH:map00260 map01100]",M00555 ,map00260 map01100,Serine and threonine metabolism,Carbohydrate metabolism,pathway
"M00033  Ectoine biosynthesis, aspartate => ectoine [PATH:map00260 map01210 map01230 map01100 map01120]",M00033 ,map00260 map01210 map01230 map01100 map01120,Serine and threonine metabolism,Carbohydrate metabolism,pathway
